Codigo,Nome,Ementa
ADM0023,INTRODUÇÃO À ADMINISTRAÇÃO - 60h,"Conceitos de Administração. As finalidades da Administração. Administração e as organizações. Evolução do pensamento e da Teoria Administrativa. Abordagem crítica do pensamento administrativo. Funções da Administração: planejamento, organização, execução, liderança e controle. Áreas funcionais da Administração. Papéis, competências e atuação profissional em administração. Administração no contexto brasileiro. Administração na sociedade contemporânea. Ética e Diversidade nas organizações."
ADM0025,ORGANIZACAO E SISTEMAS - 60h,"DESENVOLVER A CAPACIDADE DE ANALISE, APRECIACAO CRITICA E SISTEMATI-ZACAO DAS PRINCIPAIS CONTRIBUICOES TEORICAS PARA O ENTENDIMENTO DASORGANIZACOES COMO UNIDADES SOCIAIS E PRATICAS RELACIONADAS AO CAMPO DEESTUDO. ENFATIZAR-SE-A A PARTICIPACAO ATIVA DOS PARTICIPANTES, MEDIANTEDISCUSSAO DE TEXTOS E EXAME DE EXPERIENCIAS PROFISSIONAIS E LUZ DE TEO-RIAS ESTUDADAS."
ADM0064,ADMINISTRAÇÃO DE MARKETING - 60h,Fundamentos e conceitos de marketing. Marketing Estratégico. Marketing Tático. Marketing Administrativo. Planejamento em Marketing. Ética.
ADM0070,GOVERNO E ADMINISTRACAO NO BRASIL - 60h,"ORIGENS DO GOVERNO E DA ADMINISTRACAO PUBLICA NO BRASIL. A ORGA- NIZACAO DOS PODERES. ESTADO E GOVERNO. FUNDAMENTOS, PRINCIPIOS E FUN- COES DO SETOR PUBLICO. ESTRUTURA E FUNCIONAMENTO. FATORES CULTURAIS E SUA INTERFERENCIA NA ADMINSTRACAO. A MODERNIZACAO DO ESTADO. CONCENTRA- CAO E DESCONCENTRACAO FEDERAL, ESTADUAL E MUNICIPAL."
ADM0092,ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES - 60h,"Introdução à Administração de Produção estratégia de produção e operações pesquisa e desenvolvimento de produtos, serviços e processos métodos e organização do trabalho sistemas de planejamento e controle da produção e operações gestão da qualidade ética e gestão socioambiental."
BOT0004,INTRODUCAO A ANATOMIA VEGETAL - 60h,ESTRUTURAS CARACTERISTICAS DA CECULA VEGERAL. TECIDOS SIMPLES E COM-PLEXOS. ANATOMIA DOS ORGAOS VEGETATIVOS E REPRODUTIVOS. ESTRUTURAS PRI-MARIA E SECUNDARIA. VARIACOES ESTRUTURAIS LIGADAS AO AMBIENTE.
BOT0006,ANATOMIA DAS MADEIRAS - 60h,ANATOMIA COMPARADA DE MADEIRA DE ANGIOSPERMAS E GIMNOSPERMAS IDENTI-FICACAO MICROSCOPICA E MACROSCOPICA DAS MADEIRAS. INTRODUCAO AS PROPRIE-DADES FISICAS E QUIMICAS DAS MADEIRAS. CONHECIMENTO DAS ESTRUTURASANATOMICAS DAS MAEDEIRAS APLICADA A TECNOLOGIA. QUALIFICACAO DE MADEIRASNATIVAS PARA PRODUCAO DE ENERGIA. TECNICAS APLICADAS AO ESTUDO ANATOMICODAS MADEIRAS.
BOT0020,MORFOLOGIA E TAXONOMIA DAS CRIPTOGAMAS - 60h,ESTRUTURAS CARACTERISTICAS DA CECULA VEGERAL. TECIDOS SIMPLES E COM-PLEXOS. ANATOMIA DOS ORGAOS VEGETATIVOS E REPRODUTIVOS. ESTRUTURAS PRI-MARIA E SECUNDARIA. VARIACOES ESTRUTURAIS LIGADAS AO AMBIENTE.
BOT0021,MORFOLOGIA E TAXONOMIA DAS FANEROGAMAS - 90h,"INTRODUCAO A BOTANICA. PRINCIPIOS TAXONOMICOS, MORFOLOGIA. SISTE- MATICA, ECOLOGIA E IMPORTANCIA ECONOMICA DAS PLANTAS ANGIOSPERMAS E GI- MNOSPERMAS."
BOT0042,ANATOMIA VEGETAL - 60h,"DESENVOLVIMENTO DAS PLANTAS COM SEMENTES. DIFERENCIACAO, ESPECIALIZA-CAO E MORFOGENESE. CELULA VEGETAL COMPONENTES PROTOPLASMATICOS E NAOPROTOPLASMATICOS. PAREDE CELULAR. MARISTEMA APICAL E LATERAL. TECIDOSSIMPLES E COMPLEXOS. CELULAS DE TRANSFERENCIA. ESTRUTURAS SECRETORAS.ANATOMIA DOS ORGAOS VEGETATIVOS E REPRODUTIVOS. ESTRUTURAS PRIMARIA ESECUNDARIA DAS RAIZES E DOS CAULES. ESTRUTURA BASICA E DESENVOLVIMENTODA FOLHA. VARIACOES ESTRUTURAIS DA FOLHA RELACIONADAS COM O HABITAL. ES-TRUTURA KRANZ. ESTRUTURA E DESENVOLVIMENTO DA FLOR, DO FRUTO E DA SEMEN-TE. EMBRIAO E PLANTULA."
