id,codigo,nome,semestre,horas,requisitos,corequisitos,area,tipo,horario
sustent,CDS0007,INTROD. DESENV. SUSTENTÁVEL,1,60,,,humanas,OBG,"35N34, 36N12"
introep,EPR0056,INTRODUÇÃO À EP,1,30,,,prodbas,OBG,6N34
engtrabalho,EPR0076,ENGENHARIA DO TRABALHO,1,30,,,prodbas,OBG,5N12
fis1,IFD0171,FÍSICA 1,1,60,,,exatas,OBG,"24M12, 24T23, 24T45, 26T45, 2N34, 35M12, 35M34, 35T23, 35T45, 46M34, 4M34, 4N12, 6M34"
fis1exp,IFD0173,FÍSICA 1 EXP.,1,30,,fis1,exatas,OBG,"2M34, 2T23, 3M12, 3M34, 3T23, 4M12, 4M34, 4N34, 4T23, 5M12, 5M34, 5T23, 5T45, 6M12, 6M34, 6T23, 6T45, 7M34"
calc1,MAT0025,CÁLCULO 1,1,90,,,exatas,OBG,"234M34, 235M12, 235M34, 235T45, 246M12, 246M34, 246N12, 246T23, 2M12, 2M1234, 2M34, 2N12, 2T23, 34M34, 356M12, 356T23, 35M34, 35N34, 3M12, 3M34, 46M12, 46N12, 46T23, 4M12, 56M12, 5M34, 5N1234, 6N12"
formvalor,EPR0061,FORM. DE VALOR EM SIST. PROD.,2,30,introep,,prodbas,OBG,4N34
fis2exp,IFD0177,FÍSICA 2 EXP.,2,60,"calc1,fis1",,exatas,OBG,"2M1234, 3M1234, 3T2345, 4M1234, 5T2345, 6M1234, 6N1234, 6T2345"
fis2,IFD0175,FÍSICA 2,2,60,"fis1,fis1exp,calc1",,exatas,OBG,"24M12, 24T23, 2N34, 35M12, 35M34, 35T45, 46M34, 4N12"
calc2,MAT0026,CÁLCULO 2,2,90,calc1,,exatas,OBG,"235M12, 235M34, 235T23, 246M12, 246T23, 2M12, 2M34, 2N12, 356M12, 35M12, 35M34, 35N34, 3N34, 56N12, 6M12"
metodologia,EPR0069,METODOLOGIA PROJ. SIST. PROD.,3,30,introep,,prodbas,OBG,5N12
fis3,IFD0179,FÍSICA 3,3,60,fis2,,exatas,OBG,"24T23, 24T45, 26N34, 2T45, 35T23, 35T45, 46M34, 4T45"
calc3,MAT0027,CÁLCULO 3,3,90,calc1,,exatas,OBG,"235M34, 235T45, 246T23, 2M1234, 2M34, 2N12, 356M12, 35M34, 35N34, 4M12"
transcalor,ENM0128,TRANSP. DE CALOR E MASSA,4,60,"fis2,calc3,fis2exp",,exatas,OBG,"35N12, 35T45"
psp1,EPR0071,PSP 1,4,30,"formvalor,metodologia,engtrabalho",,projetos,OBG,2N34
probest,EST0023,PROBABILIDADE E ESTATÍSTICA,4,60,calc1,,exatas,OBG,"24M12, 24M34, 24N12, 24T23, 24T45, 2T45, 46M12, 46M34, 46T23, 4T45"
quimicateo,IQD0125,QUÍMICA GERAL TEÓRICA,4,60,,,exatas,OBG,"24M34, 26T23, 2M34, 2T23, 35M12, 35N34, 35T23, 4T45, 6M34, 6T23"
quimicaexp,IQD0126,QUÍMICA GERAL EXP.,4,30,,,exatas,OBG,"2M12, 2M34, 2T23, 2T45, 3M34, 3N12, 4M12, 4M34, 4T23, 5M12, 5M34, 5T23, 5T45, 6N34, 6T45"
introeco,ECO0019,INTRODUÇÃO À ECONOMIA,5,60,,,humanas,OBG,"24M12, 24M34, 24N12, 24N34, 24T23, 24T45, 26N34, 35M12, 35M34, 35N12, 35N34, 35T23, 35T45, 6N1234"
engeco,EPR0064,ENGENHARIA ECONÔMICA,5,60,probest,,prodesp,OBG,24N12
sisinfo,EPR0072,SIST. INFORMAÇÃO EM EP,5,60,CADEIA_3,,prodesp,OBG,35N12
psp2,EPR0073,PSP 2,5,30,psp1,sisinfo,projetos,OBG,"3N34, 5N34"
cienciamat,ENM0126,INTROD. CIÊNCIA DOS MATERIAIS,6,45,quimicateo,,exatas,OBG,"2N12, 4M34, 6N12"
pesqoperacional,EPR0066,PESQUISA OPERACIONAL 1,6,90,probest,,prodesp,OBG,235N34
cienciapol,POL0011,INTROD. CIÊNCIA POLÍTICA,6,60,,,humanas,OBG,"24M12, 24M34, 24N12, 24N34, 24T23, 2N34, 35M12, 35N12, 35T45, 4N34, 6N1234"
procfab,ENM0171,PROCESSOS DE FABRICAÇÃO,7,60,cienciamat,,prodesp,OBG,"24M12, 46N12"
pcp,EPR0002,PLANEJ. CONTROLE PROD. (PCP),7,60,sisinfo,,prodesp,OBG,2N1234
psp4,EPR0001,PSP 4,7,30,psp2,pcp,projetos,OBG,4N34
simulacao,EPR0004,SIMULAÇÃO DE SISTEMAS,7,60,pesqoperacional,,prodesp,OBG,35N12
seguranca,EPR0006,SEGURANÇA E SAÚDE NO TRAB.,7,60,psp2,,humanas,OBG,35N34
qualidade,EPR0030,GESTÃO DA QUALIDADE,8,60,probest,psp5,prodesp,OBG,35N12
psp5,EPR0007,PSP 5,8,30,"engeco,psp2,pesqoperacional",,projetos,OBG,3N34
ergosist,EPR0077,ERGONOMIA SIST. PRODUTIVOS,8,60,engtrabalho,,humanas,OBG,4N1234
logistica,EPR0012,LOGÍSTICA,9,60,pesqoperacional,,prodesp,OBG,3N1234
engproduto,EPR0013,ENGENHARIA DO PRODUTO,9,60,pcp,,prodesp,OBG,24N12
psp6,EPR0008,PSP 6,9,30,"psp2,pesqoperacional,engeco",engproduto,projetos,OBG,Não Ofertada
estrategica,EPR0065,GESTÃO ESTRATÉGICA,10,60,engeco,,prodesp,OBG,6N1234
psp7,EPR0009,PSP 7,10,30,"psp2,pesqoperacional,engeco",estrategica,projetos,OBG,"4N34, 3N34"
desenhomec1,ENM0131,DESENHO MEC. ASSIST. 1,97,90,,,seletiva-chave,OBG,"3T2345, 5T45"
desenhomec2,ENM0190,DESENHO MEC. ENG.,97,60,,,seletiva-chave,OBG,"35T45, 46M12, 6N1234"
